,Quarter,Topic 1,Topic 2,Topic 3,Topic 4,Lotus
0,Q1-18,"['taste', 'delicious', 'cookie', 'good', 'lotus', 'flavor', 'white', 'size', 'texture', 'bar']","['cookie', 'good', 'love', 'excellent', 'coffee', 'product', 'break', 'packet', 'way', 'great']","['love', 'cookie', 'great', 'favorite', 'eat', 'enjoy', 'pack', 'addictive', 'chocolate', 'package']","['love', 'find', 'buy', 'one', 'great', 'hit', 'big', 'happy', 'eat', 'airplane']",0.467483117
1,Q2-18,"['good', 'coffee', 'love', 'nice', 'like', 'buy', 'great', 'taste', 'gift', 'expire']","['love', 'cookie', 'eat', 'buy', 'break', 'chocolate', 'taste', 'box', 'product', 'delta']","['cookie', 'great', 'love', 'delicious', 'fall', 'package', 'pinky', 'best', 'wrap', 'product']","['cookie', 'coffee', 'box', 'sleeve', 'good', 'love', 'get', 'flavor', 'lunchtime', 'cup']",0.461251429
2,Q3-18,"['cookie', 'delicious', 'love', 'purchase', 'receive', 'eat', 'yum', 'sure', 'stale', 'wrap']","['good', 'great', 'coffee', 'cookie', 'taste', 'price', 'morning', 'small', 'supermarket', 'real']","['cookie', 'love', 'order', 'airline', 'packaging', 'try', 'coffee', 'break', 'package', 'come']","['yummy', 'arrive', 'coffee', 'cookie', 'taste', 'want', 'product', 'plastic', 'ration', 'household']",0.459208621
3,Q4-18,"['cookie', 'great', 'love', 'break', 'wrap', 'pack', 'good', 'delicious', 'come', 'flavor']","['eat', 'time', 'fresh', 'delicious', 'great', 'cookie', 'like', 'work', 'pack', 'box']","['cookie', 'coffee', 'buy', 'package', 'find', 'box', 'perfect', 'wrap', 'fresh', 'sweet']","['cookie', 'love', 'good', 'one', 'flight', 'order', 'find', 'delta', 'size', 'come']",0.444626829
4,Q1-19,"['love', 'cookie', 'time', 'flight', 'delicious', 'great', 'amazon', 'flavor', 'kid', 'candy']","['cookie', 'delicious', 'good', 'buy', 'pack', 'coffee', 'arrive', 'great', 'like', 'think']","['order', 'buy', 'love', 'cookie', 'holiday', 'amazing', 'product', 'find', 'coffee', 'chocolate']","['cookie', 'package', 'good', 'taste', 'chocolate', 'like', 'great', 'yummy', 'coffee', 'box']",0.530082418
5,Q2-19,"['cookie', 'love', 'package', 'buy', 'order', 'great', 'tea', 'little', 'flavor', 'box']","['cookie', 'tea', 'product', 'perfect', 'size', 'coffee', 'time', 'crumble', 'biscoff', 'excellent']","['delicious', 'great', 'snack', 'price', 'biscuit', 'delivery', 'cookie', 'amazon', 'gift', 'fly']","['good', 'cookie', 'taste', 'great', 'perfect', 'coffee', 'love', 'order', 'little', 'wrap']",0.56174031
6,Q3-19,"['love', 'cookie', 'delicious', 'coffee', 'flavor', 'good', 'yummy', 'day', 'little', 'eat']","['cookie', 'good', 'break', 'love', 'delicious', 'box', 'airlines', 'like', 'order', 'work']","['cookie', 'good', 'taste', 'love', 'wrap', 'buy', 'amazon', 'great', 'flight', 'pack']","['cookie', 'great', 'love', 'taste', 'price', 'package', 'flavor', 'wrap', 'perfect', 'order']",0.513077528
7,Q4-19,"['great', 'coffee', 'cookie', 'chocolate', 'good', 'tea', 'get', 'taste', 'biscuit', 'eat']","['good', 'fresh', 'cookie', 'wrap', 'love', 'like', 'come', 'buy', 'excellent', 'coffee']","['cookie', 'love', 'delicious', 'buy', 'order', 'wrap', 'good', 'break', 'small', 'little']","['cookie', 'great', 'taste', 'coffee', 'like', 'flavor', 'time', 'perfect', 'tea', 'num']",0.577878061
8,Q1-20,"['love', 'cookie', 'box', 'great', 'find', 'biscuit', 'chocolate', 'tea', 'taste', 'amazon']","['cookie', 'good', 'coffee', 'delicious', 'buy', 'perfect', 'tea', 'order', 'wrap', 'love']","['cookie', 'gift', 'box', 'great', 'love', 'candy', 'friend', 'buy', 'product', 'give']","['great', 'love', 'cookie', 'snack', 'wrap', 'taste', 'small', 'little', 'tea', 'delicious']",0.55318
9,Q2-20,"['cookie', 'love', 'great', 'good', 'wrap', 'find', 'coffee', 'sweet', 'buy', 'taste']","['cookie', 'buy', 'eat', 'delicious', 'great', 'taste', 'come', 'fresh', 'love', 'order']","['cookie', 'box', 'package', 'love', 'fresh', 'get', 'product', 'open', 'biscuit', 'break']","['cookie', 'receive', 'favorite', 'break', 'arrive', 'expect', 'coffee', 'order', 'like', 'thin']",0.496006763
10,Q3-20,"['cookie', 'biscuit', 'arrive', 'flight', 'like', 'taste', 'enjoy', 'delicious', 'love', 'time']","['cookie', 'good', 'coffee', 'love', 'taste', 'package', 'eat', 'great', 'tea', 'nom']","['cookie', 'box', 'delicious', 'order', 'package', 'break', 'packaging', 'open', 'biscoff', 'family']","['cookie', 'great', 'love', 'taste', 'wrap', 'coffee', 'perfect', 'good', 'package', 'snack']",0.508600948
11,Q4-20,"['wrap', 'cookie', 'fresh', 'flavor', 'love', 'nice', 'pack', 'work', 'treat', 'come']","['cookie', 'love', 'box', 'eat', 'taste', 'receive', 'buy', 'product', 'chocolate', 'day']","['great', 'love', 'cookie', 'delicious', 'taste', 'package', 'snack', 'tea', 'buy', 'coffee']","['cookie', 'good', 'great', 'coffee', 'fresh', 'tea', 'package', 'favorite', 'cinnamon', 'crispy']",0.443714796
12,Q1-21,"['chocolate', 'great', 'bar', 'taste', 'buy', 'eat', 'cookie', 'size', 'box', 'perfect']","['fresh', 'stay', 'gift', 'time', 'find', 'order', 'arrive', 'broken', 'come', 'snack']","['chocolate', 'good', 'bar', 'taste', 'love', 'white', 'like', 'delicious', 'flavor', 'pack']","['cookie', 'great', 'love', 'delicious', 'coffee', 'package', 'gift', 'order', 'tea', 'taste']",0.534118182
13,Q2-21,"['good', 'flavor', 'coffee', 'cookie', 'taste', 'love', 'smell', 'buy', 'package', 'bad']","['cookie', 'coffee', 'box', 'taste', 'love', 'great', 'flavor', 'pack', 'small', 'chocolate']","['cookie', 'love', 'flavor', 'box', 'break', 'good', 'delicious', 'eat', 'find', 'buy']","['love', 'chocolate', 'cookie', 'pack', 'great', 'delicious', 'bar', 'ice', 'buy', 'taste']",0.432465862
14,Q3-21,"['love', 'coffee', 'flavor', 'chocolate', 'great', 'order', 'buy', 'white', 'snack', 'pack']","['good', 'cookie', 'taste', 'arrive', 'order', 'great', 'delicious', 'amazon', 'box', 'break']","['cookie', 'taste', 'delicious', 'great', 'pack', 'receive', 'ice', 'yummy', 'sweet', 'like']","['cookie', 'package', 'love', 'chocolate', 'good', 'pack', 'box', 'time', 'coffee', 'tea']",0.405131148
15,Q4-21,"['chocolate', 'cookie', 'good', 'box', 'package', 'time', 'tasty', 'product', 'buy', 'order']","['love', 'cookie', 'great', 'box', 'taste', 'product', 'order', 'gift', 'fresh', 'buy']","['cookie', 'pack', 'delicious', 'purchase', 'like', 'g', 'want', 'great', 'expect', 'little']","['cookie', 'good', 'love', 'buy', 'flavor', 'coffee', 'eat', 'bar', 'like', 'great']",0.468591935
16,Q1-22,"['cookie', 'box', 'great', 'order', 'package', 'coffee', 'treat', 'delicious', 'time', 'perfect']","['love', 'cookie', 'chocolate', 'gift', 'time', 'tasty', 'box', 'flavor', 'purchase', 'favorite']","['cookie', 'good', 'coffee', 'great', 'fresh', 'buy', 'delicious', 'eat', 'sweet', 'product']","['cookie', 'love', 'order', 'good', 'taste', 'bar', 'price', 'little', 'break', 'eat']",0.530154636
17,Q2-22,"['cookie', 'order', 'buy', 'time', 'love', 'wrap', 'good', 'great', 'package', 'find']","['cookie', 'great', 'coffee', 'love', 'package', 'open', 'taste', 'box', 'biscoff', 'pack']","['love', 'cookie', 'good', 'eat', 'milk', 'favorite', 'delicious', 'snack', 'lotuss', 'taste']","['lotus', 'cookie', 'love', 'milk', 'cream', 'lotuss', 'good', 'chocolate', 'double', 'stuff']",0.591791517
18,Q3-22,"['cookie', 'order', 'good', 'eat', 'love', 'delicious', 'taste', 'great', 'pack', 'small']","['cookie', 'love', 'coffee', 'like', 'sweet', 'snack', 'delicious', 'lotus', 'eat', 'little']","['love', 'lotuss', 'double', 'good', 'stuff', 'cookie', 'milk', 'lotus', 'favorite', 'snack']","['love', 'cookie', 'chocolate', 'taste', 'flavor', 'great', 'good', 'delicious', 'snack', 'box']",0.566062205
19,Q4-22,"['cookie', 'package', 'love', 'pack', 'buy', 'box', 'break', 'open', 'wrap', 'house']","['review', 'collect', 'promotion', 'good', 'taste', 'coffee', 'cookie', 'flavor', 'love', 'lotus']","['cookie', 'love', 'great', 'like', 'coffee', 'cream', 'tea', 'box', 'come', 'sweet']","['cookie', 'love', 'lotuss', 'milk', 'lotus', 'good', 'double', 'stuff', 'eat', 'favorite']",0.63480954
20,Q1-23,"['cookie', 'milk', 'good', 'lotus', 'lotuss', 'cream', 'favorite', 'eat', 'love', 'chocolate']","['cookie', 'great', 'box', 'tea', 'order', 'gift', 'buy', 'coffee', 'break', 'love']","['love', 'eat', 'good', 'lotuss', 'cookie', 'snack', 'milk', 'delicious', 'time', 'lotus']","['love', 'cookie', 'lotuss', 'snack', 'sweet', 'good', 'milk', 'flavor', 'chocolate', 'cream']",0.733825257
21,Q2-23,"['pack', 'snack', 'crispy', 'great', 'cookie', 'say', 'box', 'treat', 'wrap', 'come']","['cookie', 'love', 'good', 'lotus', 'buy', 'packaging', 'milk', 'perfect', 'delicious', 'order']","['good', 'cookie', 'love', 'great', 'time', 'taste', 'favorite', 'lotuss', 'eat', 'stuff']","['cookie', 'item', 'amazon', 'great', 'time', 'coffee', 'like', 'biscuit', 'food', 'people']",0.645053846
